gruppo_id,anno,percentuale_maschi,percentuale_femmine,gruppo_nome,eta_meno23,eta_23_24,eta_25_26,eta_27_oltre,cs_classe_elevata,cs_media_impiegatizia,cs_media_autonoma,cs_lavoro_esecutivo,diploma_liceale,diploma_classico,diploma_linguistico,diploma_scientifico,diploma_scienze_umane,diploma_artistico,diploma_tecnico,diploma_tecnico_economico,diploma_tecnico_tecnologico,diploma_professionale,diploma_titolo_estero
10,2020,85.0,15.0,Informatica e Tecnologie ICT,28.2,32.6,20.6,18.6,16.1,33.9,21.8,26.2,46.8,3.2,1.6,40.4,1.1,0.7,47.4,12.8,34.6,1.4,4.3
10,2021,84.8,15.2,Informatica e Tecnologie ICT,27.0,31.6,21.9,19.4,17.7,32.3,22.2,25.7,47.1,3.5,2.0,40.2,1.0,0.5,46.8,12.8,34.1,1.4,4.5
10,2022,83.4,16.6,Informatica e Tecnologie ICT,26.8,33.1,21.0,19.1,18.0,32.7,20.8,26.0,46.4,3.7,1.8,38.9,1.3,0.6,47.1,11.0,36.1,1.6,4.8
10,2023,83.2,16.8,Informatica e Tecnologie ICT,26.0,32.2,22.5,19.3,17.5,33.0,20.4,26.2,45.7,3.5,2.4,38.4,0.9,0.5,46.1,11.5,34.6,1.6,6.4
10,2024,81.5,18.5,Informatica e Tecnologie ICT,26.2,31.5,22.4,19.9,18.9,32.6,20.7,25.6,46.4,3.4,2.4,38.9,1.1,0.7,44.7,10.3,34.4,1.5,7.3
11,2004,56.7,43.3,Architettura e Ingegneria civile,11.1,14.1,26.5,48.3,,,,,64.1,8.8,1.0,45.9,0.7,7.7,31.6,1.9,28.5,0.8,1.3
11,2005,56.4,43.6,Architettura e Ingegneria civile,14.0,18.8,22.9,44.3,,,,,66.1,9.9,0.9,47.0,0.7,7.7,30.5,1.3,28.8,0.4,1.6
11,2006,56.8,43.2,Architettura e Ingegneria civile,12.8,22.5,24.4,40.3,,,,,65.8,9.3,1.2,47.2,0.6,7.5,31.5,1.4,30.0,0.4,1.7
11,2007,54.7,45.3,Architettura e Ingegneria civile,14.4,25.8,24.5,35.4,,,,,66.1,9.9,1.4,47.0,0.8,7.1,30.6,1.5,29.0,0.5,1.9
11,2008,54.4,45.6,Architettura e Ingegneria civile,14.1,26.3,25.7,33.9,,,,,66.2,9.7,1.6,47.0,0.8,7.1,31.2,1.9,29.3,0.5,1.9
11,2009,54.4,45.6,Architettura e Ingegneria civile,13.6,26.0,28.5,31.9,,,,,67.0,10.0,1.7,47.2,0.9,7.2,30.5,2.0,28.5,0.3,2.1
11,2010,54.4,45.6,Architettura e Ingegneria civile,13.2,25.2,29.1,32.5,,,,,67.9,9.5,1.8,49.2,0.8,6.6,29.0,1.8,27.2,0.5,2.4
11,2011,55.2,44.8,Architettura e Ingegneria civile,12.3,26.0,29.1,32.6,,,,,68.1,9.9,1.9,49.5,0.8,5.9,29.2,1.9,27.3,0.5,2.1
11,2012,54.9,45.1,Architettura e Ingegneria civile,12.6,24.9,28.9,33.6,,,,,69.1,9.8,1.9,50.0,0.8,6.5,27.7,1.8,25.9,0.6,2.5
11,2013,54.1,45.9,Architettura e Ingegneria civile,12.3,25.3,29.4,33.1,,,,,69.9,10.0,1.8,50.5,0.9,6.7,26.5,2.0,24.5,0.6,2.9
11,2014,54.8,45.2,Architettura e Ingegneria civile,12.4,25.2,29.5,32.9,,,,,70.6,10.0,2.0,51.5,0.8,6.4,25.8,1.9,23.9,0.6,2.8
11,2015,55.4,44.6,Architettura e Ingegneria civile,11.9,24.8,30.3,32.9,27.2,30.8,21.9,17.9,71.9,10.2,1.9,53.3,0.8,5.7,24.6,1.7,22.9,0.7,2.7
11,2016,55.4,44.6,Architettura e Ingegneria civile,11.3,23.7,30.9,34.1,26.7,31.4,22.4,17.7,72.1,9.9,1.7,54.4,0.9,5.3,24.4,1.5,22.9,0.4,2.9
11,2017,54.8,45.2,Architettura e Ingegneria civile,12.1,23.0,30.8,34.1,27.1,31.1,22.2,18.0,72.7,10.1,1.7,55.0,0.8,5.2,24.2,1.5,22.7,0.4,2.6
11,2018,54.8,45.2,Architettura e Ingegneria civile,11.8,22.0,31.2,35.0,26.1,30.8,23.2,18.4,72.8,9.8,1.8,54.7,0.9,5.6,23.8,1.4,22.5,0.4,2.8
11,2019,54.5,45.5,Architettura e Ingegneria civile,11.8,21.5,30.2,36.5,26.5,30.3,23.6,18.2,72.0,10.0,2.0,53.2,1.0,5.7,24.1,1.4,22.7,0.4,3.4
11,2020,53.3,46.7,Architettura e Ingegneria civile,12.5,22.6,28.6,36.2,25.6,30.3,23.9,18.7,69.6,9.4,2.1,50.7,0.9,6.4,25.6,1.4,24.2,0.5,4.2
11,2021,52.2,47.8,Architettura e Ingegneria civile,12.4,22.3,30.2,35.1,26.1,30.4,23.4,18.4,68.0,8.8,2.2,49.0,1.2,6.8,25.3,1.4,24.0,0.4,6.1
11,2022,51.8,48.2,Architettura e Ingegneria civile,13.7,22.4,29.2,34.7,26.7,28.6,23.3,19.6,65.7,8.2,2.3,46.2,1.3,7.8,26.1,1.4,24.7,0.4,7.7
11,2023,51.3,48.7,Architettura e Ingegneria civile,14.4,23.7,28.3,33.7,27.3,28.6,23.6,18.9,64.4,7.7,3.2,44.1,1.2,8.3,25.8,1.6,24.2,0.5,9.0
11,2024,50.5,49.5,Architettura e Ingegneria civile,17.8,22.2,27.3,32.7,27.0,29.5,23.4,18.4,62.0,7.5,3.4,41.6,1.5,8.1,25.5,1.6,24.0,0.6,11.8
12,2004,84.3,15.7,Ingegneria industriale e dell'informazione,24.0,21.8,24.8,29.4,,,,,64.9,5.8,0.4,58.3,0.3,0.1,31.5,3.5,25.7,1.0,0.7
12,2005,83.0,17.0,Ingegneria industriale e dell'informazione,23.2,28.7,22.8,25.3,,,,,66.1,6.5,0.5,58.9,0.2,0.1,31.0,3.6,26.6,1.0,1.1
12,2006,81.9,18.1,Ingegneria industriale e dell'informazione,21.9,31.7,22.5,23.9,,,,,66.0,6.3,0.6,58.8,0.2,0.1,31.4,3.5,27.7,0.8,1.2
12,2007,81.6,18.4,Ingegneria industriale e dell'informazione,22.3,33.1,23.2,21.4,,,,,65.6,6.6,0.6,58.0,0.3,0.1,31.1,3.6,27.5,1.0,1.6
12,2008,80.7,19.3,Ingegneria industriale e dell'informazione,21.2,32.0,25.4,21.4,,,,,65.5,6.2,0.9,58.0,0.3,0.1,31.6,3.8,27.8,0.7,2.0
12,2009,80.6,19.4,Ingegneria industriale e dell'informazione,21.2,31.5,25.7,21.5,,,,,65.0,6.2,1.0,57.5,0.3,0.1,31.6,4.0,27.6,0.8,2.3
12,2010,79.2,20.8,Ingegneria industriale e dell'informazione,20.9,30.1,26.3,22.6,,,,,66.1,6.1,1.0,58.7,0.2,0.1,29.6,3.6,26.0,0.9,3.2
12,2011,78.4,21.6,Ingegneria industriale e dell'informazione,21.1,30.3,25.7,22.9,,,,,67.6,6.4,0.9,59.9,0.2,0.1,27.9,3.7,24.2,0.7,3.6
12,2012,77.8,22.2,Ingegneria industriale e dell'informazione,20.6,30.5,24.9,23.9,,,,,69.0,6.6,1.1,60.7,0.3,0.4,26.2,3.6,22.7,0.9,3.7
12,2013,77.4,22.6,Ingegneria industriale e dell'informazione,20.8,31.1,24.9,23.1,,,,,71.3,6.3,1.1,62.9,0.4,0.5,24.1,3.3,20.8,0.8,3.6
12,2014,77.1,22.9,Ingegneria industriale e dell'informazione,21.9,30.6,25.2,22.4,,,,,72.3,6.5,1.0,64.0,0.3,0.5,22.8,3.3,19.5,0.9,3.8
12,2015,76.5,23.5,Ingegneria industriale e dell'informazione,23.2,30.6,25.1,21.1,23.5,36.2,19.3,18.9,74.9,6.9,1.0,66.1,0.4,0.5,20.8,2.7,18.1,0.8,3.4
12,2016,76.4,23.6,Ingegneria industriale e dell'informazione,24.1,30.4,24.7,20.7,22.8,36.3,20.4,18.9,76.0,6.9,1.1,67.5,0.3,0.1,19.7,2.7,17.0,0.6,3.5
12,2017,75.7,24.3,Ingegneria industriale e dell'informazione,25.7,30.0,24.0,20.3,23.3,35.8,20.6,19.0,76.7,6.7,1.0,68.3,0.4,0.2,19.3,2.7,16.6,0.5,3.2
12,2018,75.3,24.7,Ingegneria industriale e dell'informazione,28.0,30.6,23.4,18.0,23.8,35.6,21.1,18.4,77.7,6.8,1.0,69.2,0.3,0.2,18.4,2.4,16.0,0.5,3.1
12,2019,74.7,25.3,Ingegneria industriale e dell'informazione,29.1,30.6,23.2,17.1,23.7,35.3,21.0,18.8,77.6,6.9,1.3,68.8,0.5,0.2,18.5,2.6,15.9,0.5,3.3
12,2020,73.9,26.1,Ingegneria industriale e dell'informazione,30.2,30.8,22.2,16.7,24.0,35.2,21.1,18.6,76.9,6.4,1.3,68.4,0.5,0.2,19.0,2.5,16.6,0.4,3.5
12,2021,73.5,26.5,Ingegneria industriale e dell'informazione,28.6,31.6,23.6,16.3,23.8,34.6,21.6,18.8,76.2,6.0,1.3,68.1,0.5,0.2,19.3,2.4,16.9,0.5,3.9
12,2022,73.1,26.9,Ingegneria industriale e dell'informazione,30.0,31.3,23.0,15.8,24.5,34.5,21.0,18.8,75.4,6.1,1.5,66.9,0.6,0.2,19.6,2.3,17.3,0.5,4.3
12,2023,72.5,27.5,Ingegneria industriale e dell'informazione,28.4,31.9,23.9,15.8,24.5,34.0,21.3,19.0,74.5,5.4,1.8,66.4,0.6,0.3,19.8,2.2,17.6,0.5,5.0
12,2024,72.6,27.4,Ingegneria industriale e dell'informazione,28.0,32.4,23.4,16.1,24.6,34.4,21.0,18.8,73.9,5.3,1.8,65.9,0.6,0.3,20.2,2.3,17.9,0.5,5.3
13,2004,54.0,46.0,Agrario-Forestale e Veterinario,8.6,20.7,30.8,40.0,,,,,60.7,11.9,1.6,44.4,2.3,0.5,31.4,4.3,19.2,5.7,1.2
13,2005,56.1,43.9,Agrario-Forestale e Veterinario,10.9,23.6,26.8,38.7,,,,,58.9,11.2,2.0,43.2,2.0,0.4,32.4,5.9,25.0,6.4,1.5
13,2006,55.7,44.3,Agrario-Forestale e Veterinario,12.0,27.5,25.7,34.9,,,,,55.8,10.5,1.8,40.6,2.5,0.5,36.5,6.6,29.8,6.0,1.7
13,2007,56.3,43.7,Agrario-Forestale e Veterinario,11.3,29.3,24.9,34.5,,,,,53.1,9.7,1.9,38.9,2.1,0.4,38.6,6.9,31.6,6.6,1.7
13,2008,57.8,42.2,Agrario-Forestale e Veterinario,13.2,29.2,24.8,32.8,,,,,52.5,10.3,1.8,37.2,2.6,0.6,39.2,7.0,32.2,6.6,1.6
13,2009,58.3,41.7,Agrario-Forestale e Veterinario,12.7,29.1,25.3,33.0,,,,,52.3,9.3,1.8,37.8,2.8,0.6,38.8,6.8,32.0,7.2,1.7
13,2010,57.0,43.0,Agrario-Forestale e Veterinario,11.9,27.7,27.6,32.7,,,,,52.6,9.1,2.4,37.9,2.3,0.9,36.9,7.0,29.9,7.6,2.3
13,2011,54.5,45.5,Agrario-Forestale e Veterinario,12.4,27.4,26.1,34.2,,,,,55.0,9.5,3.0,38.3,3.1,1.1,35.7,7.2,28.5,7.3,1.9
13,2012,54.7,45.3,Agrario-Forestale e Veterinario,14.6,29.2,25.2,31.0,,,,,56.8,10.3,2.7,39.9,3.2,0.7,33.1,5.8,27.3,7.9,2.2
13,2013,52.9,47.1,Agrario-Forestale e Veterinario,16.8,29.0,24.3,29.8,,,,,58.5,9.8,3.0,41.8,2.9,0.8,31.6,6.1,25.5,7.4,2.4
13,2014,51.0,49.0,Agrario-Forestale e Veterinario,19.8,29.9,23.2,27.1,,,,,61.8,11.0,3.2,43.2,3.2,1.1,28.8,5.3,23.5,6.6,2.8
13,2015,50.1,49.9,Agrario-Forestale e Veterinario,19.9,31.8,23.4,24.9,21.7,30.1,26.1,19.3,64.5,10.8,3.6,45.1,3.9,1.1,27.3,5.4,22.0,6.0,2.2
13,2016,50.0,50.0,Agrario-Forestale e Veterinario,22.1,32.5,23.4,22.0,22.0,30.9,25.9,19.1,66.2,10.8,3.4,46.8,4.1,1.1,26.5,5.2,21.3,5.1,2.1
13,2017,50.1,49.9,Agrario-Forestale e Veterinario,21.6,34.0,23.8,20.7,21.8,29.3,26.3,20.6,66.1,10.4,3.5,47.2,4.1,0.9,26.3,4.7,21.6,5.2,2.3
13,2018,50.3,49.7,Agrario-Forestale e Veterinario,23.5,33.0,24.2,19.4,21.4,30.0,27.7,19.4,67.1,10.8,3.9,47.2,4.0,1.1,25.6,4.4,21.2,5.1,2.1
13,2019,50.5,49.5,Agrario-Forestale e Veterinario,23.3,31.9,23.9,20.9,22.1,29.8,27.0,19.8,65.1,10.2,3.9,45.2,4.6,1.2,26.9,4.9,22.0,5.8,1.9
13,2020,50.5,49.5,Agrario-Forestale e Veterinario,21.8,32.4,24.0,21.7,21.8,29.4,27.5,19.7,63.5,9.1,4.5,44.3,4.3,1.2,27.3,4.4,23.0,6.6,2.2
13,2021,51.1,48.9,Agrario-Forestale e Veterinario,20.9,32.8,25.0,21.4,21.6,28.8,28.0,20.1,60.0,8.3,4.6,41.4,4.5,1.2,29.5,4.5,25.0,7.5,2.6
13,2022,51.2,48.8,Agrario-Forestale e Veterinario,20.9,30.4,26.3,22.4,21.5,29.2,27.9,20.0,58.1,8.0,4.6,39.5,4.4,1.6,31.0,4.2,26.8,8.0,2.7
13,2023,51.1,48.9,Agrario-Forestale e Veterinario,19.5,31.5,24.9,24.1,21.3,28.2,28.2,20.8,54.7,7.3,4.9,37.3,4.1,1.2,32.6,4.5,28.1,8.7,3.8
13,2024,52.6,47.4,Agrario-Forestale e Veterinario,20.2,30.4,24.7,24.7,20.9,28.1,28.0,21.4,52.3,6.2,4.6,36.0,4.1,1.3,33.7,4.2,29.6,9.6,4.2
14,2004,28.8,71.2,Medico-Sanitario e Farmaceutico,10.5,19.9,23.6,46.1,,,,,64.4,15.0,2.6,34.6,11.0,1.1,20.6,9.2,6.2,9.4,3.1
14,2005,31.2,68.8,Medico-Sanitario e Farmaceutico,12.4,20.5,22.4,44.7,,,,,62.1,15.0,2.9,33.3,9.9,1.1,22.6,11.3,8.7,8.9,3.4
14,2006,29.9,70.1,Medico-Sanitario e Farmaceutico,13.9,21.4,20.7,44.0,,,,,62.8,14.7,3.1,32.6,11.1,1.2,24.5,14.6,8.9,7.6,3.3
14,2007,29.5,70.5,Medico-Sanitario e Farmaceutico,15.9,22.0,20.7,41.4,,,,,64.3,15.2,3.4,33.5,11.1,1.2,24.1,15.0,8.4,7.3,3.5
14,2008,30.3,69.7,Medico-Sanitario e Farmaceutico,15.7,24.3,21.5,38.6,,,,,66.0,14.7,3.5,35.7,10.9,1.3,23.6,14.8,8.8,6.7,3.5
14,2009,31.5,68.5,Medico-Sanitario e Farmaceutico,15.4,23.9,21.4,39.3,,,,,65.2,14.4,4.0,35.1,10.4,1.3,24.8,15.6,9.1,6.4,3.3
14,2010,30.8,69.2,Medico-Sanitario e Farmaceutico,16.0,25.5,23.2,35.4,,,,,68.5,14.0,4.0,38.7,10.4,1.4,22.3,14.0,8.3,5.7,3.2
14,2011,30.9,69.1,Medico-Sanitario e Farmaceutico,17.3,26.9,23.1,32.7,,,,,71.2,14.0,4.3,40.9,10.9,1.1,20.3,12.7,7.5,5.0,3.2
14,2012,30.9,69.1,Medico-Sanitario e Farmaceutico,17.9,26.8,22.3,33.0,,,,,72.5,14.2,4.3,42.0,10.6,1.4,19.4,12.0,7.5,4.7,3.1
14,2013,31.4,68.6,Medico-Sanitario e Farmaceutico,18.7,28.8,22.0,30.5,,,,,74.8,14.5,4.5,43.7,10.8,1.3,17.9,10.8,7.1,4.3,2.9
14,2014,30.8,69.2,Medico-Sanitario e Farmaceutico,18.8,29.7,22.9,28.6,,,,,77.3,15.8,4.6,45.1,10.6,1.2,16.3,9.8,6.5,3.6,2.8
14,2015,31.6,68.4,Medico-Sanitario e Farmaceutico,18.1,30.6,24.6,26.8,21.2,32.0,20.0,24.0,80.4,16.2,4.4,48.2,10.5,1.1,13.9,8.2,5.7,3.2,2.4
14,2016,31.5,68.5,Medico-Sanitario e Farmaceutico,18.2,30.2,25.9,25.7,21.6,32.0,21.1,23.2,81.9,16.7,4.3,49.4,10.6,0.9,13.3,8.0,5.3,2.6,2.1
14,2017,32.2,67.8,Medico-Sanitario e Farmaceutico,17.9,28.8,27.5,25.9,22.6,31.6,20.7,23.0,82.9,16.7,4.4,50.8,10.1,0.9,12.4,7.4,5.1,2.7,1.9
14,2018,32.4,67.6,Medico-Sanitario e Farmaceutico,17.8,27.6,28.6,26.0,23.4,31.1,21.2,22.5,82.8,16.9,4.6,50.1,10.3,0.9,12.4,6.7,5.7,3.0,1.8
14,2019,32.5,67.5,Medico-Sanitario e Farmaceutico,18.8,27.6,27.7,25.9,23.2,31.2,21.4,22.5,83.1,16.2,5.1,50.5,10.4,0.9,12.2,6.2,6.1,2.9,1.7
14,2020,32.3,67.7,Medico-Sanitario e Farmaceutico,17.1,28.1,28.1,26.7,24.0,31.2,20.9,22.2,82.3,16.7,5.1,49.6,10.0,0.9,12.6,6.1,6.5,3.5,1.6
14,2021,31.2,68.8,Medico-Sanitario e Farmaceutico,18.1,29.2,26.6,26.1,23.2,30.7,21.4,23.0,81.9,15.2,5.7,49.1,11.0,1.0,12.8,5.9,6.9,3.7,1.5
14,2022,30.7,69.3,Medico-Sanitario e Farmaceutico,18.7,29.3,25.9,26.2,23.7,29.9,21.3,23.2,80.7,14.4,6.5,47.6,11.0,1.2,13.5,6.1,7.4,4.1,1.7
14,2023,30.3,69.7,Medico-Sanitario e Farmaceutico,18.0,28.7,25.0,28.4,22.5,30.3,21.1,24.1,79.4,13.4,6.9,46.5,11.3,1.3,13.9,6.1,7.8,4.6,1.9
14,2024,30.6,69.4,Medico-Sanitario e Farmaceutico,18.3,28.6,24.7,28.4,21.8,30.0,21.1,25.4,77.3,12.6,7.3,44.7,11.2,1.5,15.0,6.6,8.4,5.3,2.3
15,2004,51.5,48.5,Scienze motorie e sportive,20.8,43.9,17.6,17.7,,,,,56.1,8.5,4.0,33.5,8.4,1.6,33.6,13.6,13.4,5.1,0.4
15,2005,56.2,43.8,Scienze motorie e sportive,21.0,41.1,20.7,17.2,,,,,56.3,6.3,3.3,35.9,9.3,1.5,37.0,18.6,17.0,5.4,0.4
15,2006,53.9,46.1,Scienze motorie e sportive,23.2,37.7,18.0,21.1,,,,,55.0,7.1,3.8,32.3,9.7,2.1,38.9,19.7,18.5,5.4,0.7
15,2007,54.1,45.9,Scienze motorie e sportive,21.8,36.2,21.6,20.4,,,,,55.3,7.6,4.0,33.2,8.8,1.9,39.4,19.5,19.4,4.6,0.6
15,2008,56.5,43.5,Scienze motorie e sportive,19.0,31.2,20.6,29.2,,,,,53.6,5.4,5.3,31.5,9.4,2.1,39.8,20.6,19.1,5.9,0.6
15,2009,60.7,39.3,Scienze motorie e sportive,19.7,31.3,21.1,27.8,,,,,55.5,6.8,4.6,34.8,6.6,2.6,38.0,19.3,18.7,5.5,0.7
15,2010,63.3,36.7,Scienze motorie e sportive,21.1,35.1,20.6,23.3,,,,,57.1,6.0,4.9,37.6,6.4,2.1,37.7,18.3,19.5,4.2,0.6
15,2011,62.9,37.1,Scienze motorie e sportive,22.0,36.0,18.7,23.3,,,,,57.7,6.0,5.0,35.7,8.9,2.0,35.8,17.9,17.9,5.5,0.7
15,2012,60.9,39.1,Scienze motorie e sportive,22.8,34.9,20.1,22.2,,,,,61.0,7.5,4.6,38.8,7.9,2.1,33.8,16.6,17.2,4.3,0.8
15,2013,62.8,37.2,Scienze motorie e sportive,24.5,36.6,18.7,20.2,,,,,64.4,6.7,4.7,42.9,8.0,2.1,31.0,14.8,16.1,4.3,0.2
15,2014,63.9,36.1,Scienze motorie e sportive,25.5,35.9,19.3,19.3,,,,,67.1,6.5,4.8,45.7,8.3,1.8,27.8,12.4,15.4,4.3,0.7
15,2015,65.0,35.0,Scienze motorie e sportive,25.9,35.2,20.2,18.7,19.2,33.5,21.7,22.5,67.6,6.7,4.3,46.0,8.6,2.0,27.5,12.8,14.8,4.1,0.6
15,2016,65.3,34.7,Scienze motorie e sportive,26.7,36.5,20.1,16.7,20.0,33.3,23.6,20.7,70.2,6.8,4.6,49.2,7.9,1.6,26.3,12.2,14.1,3.0,0.5
15,2017,68.8,31.2,Scienze motorie e sportive,27.5,35.9,18.9,17.7,19.9,33.0,22.8,21.9,68.9,7.0,3.7,48.6,8.1,1.5,27.6,12.2,15.4,2.9,0.6
15,2018,68.4,31.6,Scienze motorie e sportive,29.8,33.9,18.8,17.4,19.0,33.0,23.2,22.8,68.8,6.4,4.5,48.2,8.3,1.4,26.9,12.1,14.9,3.6,0.6
15,2019,67.1,32.9,Scienze motorie e sportive,32.2,33.1,17.9,16.9,19.1,32.1,24.3,22.4,66.6,5.9,5.3,44.8,8.6,2.0,28.7,12.4,16.2,4.1,0.5
15,2020,68.3,31.7,Scienze motorie e sportive,31.5,33.6,17.3,17.6,18.7,32.8,23.2,23.5,66.6,5.7,7.0,44.1,7.7,2.2,28.4,12.8,15.6,4.4,0.5
15,2021,68.3,31.7,Scienze motorie e sportive,35.3,32.5,15.7,16.4,17.2,33.6,22.9,24.0,65.8,4.7,6.6,43.9,8.2,2.4,27.9,12.3,15.6,5.5,0.5
15,2022,67.7,32.3,Scienze motorie e sportive,38.4,32.0,15.4,14.1,17.6,31.2,24.7,24.2,66.6,4.5,8.1,43.7,8.0,2.3,27.6,12.2,15.4,5.3,0.4
15,2023,68.5,31.5,Scienze motorie e sportive,37.3,33.0,15.9,13.8,17.9,31.3,23.0,25.6,64.7,3.7,7.6,41.9,8.4,3.0,28.0,11.7,16.3,6.6,0.7
15,2024,70.1,29.9,Scienze motorie e sportive,38.3,33.9,14.8,12.9,18.1,30.5,23.2,26.1,65.2,3.7,7.4,43.3,8.5,2.3,27.4,11.4,16.0,6.1,1.2
