anno,anni_da_conseguimento_titolo,gruppo,ateneo,numero_laureati,percentuale_maschi,percentuale_femmine,tasso_occupazione_totale,tasso_disoccupazione_totale,retribuzione_mensile_maschi,retribuzione_mensile_femmine,retribuzione_mensile
2016,1,8,tutti,15859.0,36.9,63.1,46.1,26.6,1155.0,897.0,997.0
2017,1,8,tutti,16604.0,36.9,63.1,48.7,24.6,1155.0,882.0,988.0
2018,1,8,tutti,16315.0,36.8,63.2,46.8,23.0,1228.0,1011.0,1095.0
2019,1,8,tutti,15775.0,35.8,64.2,48.8,21.8,1261.0,1019.0,1110.0
2020,1,8,tutti,14689.0,35.6,64.4,46.2,25.0,1271.0,1074.0,1147.0
2021,1,8,tutti,14538.0,37.5,62.5,50.8,20.8,1110.0,927.0,996.0
2022,1,8,tutti,13862.0,35.8,64.2,57.5,15.5,1171.0,1018.0,1075.0
2023,1,8,tutti,12732.0,35.8,64.2,53.3,13.8,1229.0,1048.0,1116.0
2024,1,8,tutti,15306.0,39.7,60.3,60.4,12.4,1497.0,1171.0,1306.0
2008,3,8,tutti,3820.0,40.8,59.2,61.0,18.9,1168.0,971.0,1059.0
2009,3,8,tutti,3330.0,38.1,61.9,60.2,18.5,1109.0,900.0,985.0
2010,3,8,tutti,2929.0,36.7,63.3,58.5,21.1,1292.0,954.0,1088.0
2011,3,8,tutti,5159.0,38.2,61.8,55.5,24.5,1127.0,911.0,1001.0
2012,3,8,tutti,6751.0,36.8,63.2,54.7,25.7,1071.0,855.0,941.0
2013,3,8,tutti,7946.0,37.0,63.0,53.0,28.4,1080.0,828.0,929.0
2014,3,8,tutti,10022.0,36.9,63.1,50.2,33.1,1073.0,871.0,955.0
2015,3,8,tutti,12485.0,37.5,62.5,51.2,30.4,1133.0,964.0,1037.0
2016,3,8,tutti,12838.0,36.8,63.2,54.1,27.3,1189.0,993.0,1073.0
2017,3,8,tutti,13136.0,36.7,63.3,55.2,24.9,1226.0,1017.0,1098.0
2018,3,8,tutti,13679.0,36.7,63.3,57.7,23.0,1297.0,1138.0,1200.0
2019,3,8,tutti,14413.0,36.8,63.2,61.8,20.7,1381.0,1214.0,1279.0
2020,3,8,tutti,14307.0,37.1,62.9,59.6,21.4,1402.0,1257.0,1315.0
2021,3,8,tutti,13751.0,35.9,64.1,63.0,18.2,1410.0,1287.0,1334.0
2022,3,8,tutti,12589.0,36.1,63.9,69.2,13.6,1495.0,1372.0,1417.0
2023,3,8,tutti,11818.0,36.0,64.0,69.1,12.1,1605.0,1470.0,1521.0
2024,3,8,tutti,11532.0,34.6,65.4,76.3,9.8,1704.0,1552.0,1607.0
2008,5,8,tutti,3141.0,39.3,60.7,85.6,5.6,1426.0,1101.0,1225.0
2009,5,8,tutti,3614.0,40.4,59.6,85.6,7.1,1343.0,1074.0,1186.0
2010,5,8,tutti,3989.0,40.6,59.4,83.1,9.5,1406.0,1042.0,1191.0
2011,5,8,tutti,3321.0,37.9,62.1,80.8,10.4,1218.0,991.0,1079.0
2012,5,8,tutti,2929.0,36.7,63.3,83.3,8.6,1443.0,1106.0,1236.0
2013,5,8,tutti,5159.0,38.2,61.8,78.3,13.2,1370.0,1068.0,1184.0
2014,5,8,tutti,6751.0,36.8,63.2,75.4,15.3,1302.0,1030.0,1134.0
2015,5,8,tutti,9626.0,37.0,63.0,74.7,14.6,1363.0,1110.0,1211.0
2016,5,8,tutti,12012.0,36.7,63.3,74.4,14.3,1339.0,1112.0,1199.0
2017,5,8,tutti,12545.0,37.5,62.5,75.0,13.0,1383.0,1139.0,1237.0
2018,5,8,tutti,12903.0,36.9,63.1,76.3,12.4,1493.0,1233.0,1333.0
2019,5,8,tutti,13172.0,36.7,63.3,77.8,11.1,1530.0,1310.0,1395.0
2020,5,8,tutti,13720.0,36.7,63.3,79.9,9.8,1587.0,1393.0,1467.0
2021,5,8,tutti,14412.0,36.8,63.2,80.7,8.6,1687.0,1515.0,1579.0
2022,5,8,tutti,14360.0,37.2,62.8,82.8,7.1,1761.0,1561.0,1635.0
2023,5,8,tutti,13824.0,36.0,64.0,84.4,6.1,1815.0,1661.0,1717.0
2024,5,8,tutti,12899.0,36.5,63.5,84.5,6.5,1961.0,1755.0,1832.0
2008,1,9,tutti,12107.0,38.6,61.4,47.6,18.4,1007.0,821.0,899.0
2009,1,9,tutti,13401.0,40.1,59.9,44.9,21.7,1018.0,773.0,875.0
2010,1,9,tutti,14939.0,39.4,60.6,46.1,21.9,949.0,753.0,833.0
2011,1,9,tutti,15609.0,39.8,60.2,44.9,23.6,976.0,778.0,858.0
2012,1,9,tutti,19062.0,38.8,61.2,46.2,24.3,882.0,713.0,782.0
2013,1,9,tutti,19737.0,39.0,61.0,45.2,27.0,907.0,688.0,774.0
2014,1,9,tutti,20719.0,39.7,60.3,43.6,27.2,911.0,739.0,809.0
2015,1,9,tutti,24907.0,40.3,59.7,43.0,26.0,1014.0,818.0,898.0
2016,1,9,tutti,25009.0,39.6,60.4,43.6,24.0,1043.0,849.0,927.0
2017,1,9,tutti,25235.0,41.2,58.8,46.2,21.0,1020.0,827.0,907.0
2018,1,9,tutti,25686.0,40.5,59.5,45.1,19.3,1111.0,921.0,998.0
2019,1,9,tutti,26981.0,42.2,57.8,43.3,17.5,1125.0,938.0,1017.0
2020,1,9,tutti,28222.0,42.0,58.0,38.7,20.3,1151.0,997.0,1063.0
2021,1,9,tutti,28908.0,41.6,58.4,43.8,15.7,1235.0,1119.0,1169.0
2022,1,9,tutti,30376.0,40.9,59.1,48.2,12.1,1293.0,1165.0,1219.0
2023,1,9,tutti,29659.0,41.3,58.7,47.5,12.5,1364.0,1230.0,1287.0
2024,1,9,tutti,31718.0,40.9,59.1,51.7,11.5,1410.0,1277.0,1332.0
2008,3,9,tutti,1904.0,40.6,59.4,83.1,11.1,1295.0,1059.0,1161.0
2009,3,9,tutti,1266.0,42.0,58.0,80.1,13.1,1267.0,1018.0,1134.0
2010,3,9,tutti,3466.0,37.6,62.4,88.7,7.0,1293.0,1081.0,1159.0
2011,3,9,tutti,4727.0,38.9,61.1,86.4,8.7,1298.0,1062.0,1155.0
2012,3,9,tutti,5301.0,37.3,62.7,84.4,9.5,1236.0,1013.0,1096.0
2013,3,9,tutti,5841.0,38.0,62.0,83.3,11.3,1250.0,1023.0,1110.0
2014,3,9,tutti,7564.0,37.4,62.6,82.3,12.0,1232.0,1041.0,1112.0
2015,3,9,tutti,10261.0,39.2,60.8,81.5,11.5,1333.0,1108.0,1195.0
2016,3,9,tutti,10118.0,39.4,60.6,82.1,10.7,1336.0,1175.0,1236.0
2017,3,9,tutti,10187.0,39.1,60.9,84.7,8.5,1380.0,1170.0,1248.0
2018,3,9,tutti,10484.0,38.1,61.9,84.0,9.0,1419.0,1234.0,1302.0
2019,3,9,tutti,10640.0,39.7,60.3,86.3,7.5,1455.0,1285.0,1351.0
2020,3,9,tutti,11154.0,39.0,61.0,87.0,7.0,1488.0,1330.0,1391.0
2021,3,9,tutti,11294.0,41.0,59.0,88.9,5.3,1481.0,1387.0,1426.0
2022,3,9,tutti,11832.0,40.7,59.3,88.8,4.3,1542.0,1462.0,1494.0
2023,3,9,tutti,11674.0,41.3,58.7,88.0,5.6,1585.0,1479.0,1523.0
2024,3,9,tutti,13117.0,40.7,59.3,90.6,4.2,1638.0,1533.0,1577.0
2008,5,9,tutti,1614.0,40.5,59.5,86.9,7.3,1484.0,1195.0,1315.0
2009,5,9,tutti,1779.0,40.2,59.8,84.4,9.4,1446.0,1159.0,1280.0
2010,5,9,tutti,1931.0,40.2,59.8,80.4,11.2,1455.0,1218.0,1319.0
2011,5,9,tutti,1260.0,42.1,57.9,82.5,11.5,1397.0,1138.0,1257.0
2012,5,9,tutti,3466.0,37.6,62.4,84.5,9.5,1496.0,1258.0,1348.0
2013,5,9,tutti,4725.0,38.9,61.1,82.2,11.2,1499.0,1245.0,1352.0
2014,5,9,tutti,5301.0,37.3,62.7,82.3,11.5,1480.0,1211.0,1317.0
2015,5,9,tutti,7595.0,38.6,61.4,79.9,11.9,1563.0,1279.0,1394.0
2016,5,9,tutti,9409.0,38.6,61.4,79.4,11.6,1586.0,1306.0,1420.0
2017,5,9,tutti,10286.0,39.2,60.8,81.5,9.2,1600.0,1322.0,1433.0
2018,5,9,tutti,10128.0,39.3,60.7,81.3,8.8,1602.0,1362.0,1460.0
2019,5,9,tutti,10187.0,39.1,60.9,84.9,7.2,1654.0,1432.0,1519.0
2020,5,9,tutti,10483.0,38.1,61.9,86.8,6.9,1683.0,1478.0,1554.0
2021,5,9,tutti,10640.0,39.7,60.3,89.4,4.6,1698.0,1536.0,1602.0
2022,5,9,tutti,11154.0,39.0,61.0,89.5,3.9,1766.0,1605.0,1669.0
2023,5,9,tutti,11294.0,41.0,59.0,87.5,5.4,1831.0,1663.0,1731.0
2024,5,9,tutti,11832.0,40.7,59.3,89.7,4.0,1920.0,1743.0,1815.0
2008,1,10,tutti,2474.0,81.2,18.8,74.0,6.0,1151.0,1042.0,1131.0
2009,1,10,tutti,2351.0,81.0,19.0,70.1,9.0,1149.0,1031.0,1128.0
2010,1,10,tutti,2672.0,81.2,18.8,70.0,11.4,1116.0,1004.0,1096.0
2011,1,10,tutti,2762.0,83.7,16.3,71.8,10.3,1162.0,1082.0,1150.0
2012,1,10,tutti,2563.0,84.7,15.3,71.9,9.9,1140.0,1029.0,1124.0
2013,1,10,tutti,2458.0,83.0,17.0,71.6,10.4,1151.0,993.0,1128.0
2014,1,10,tutti,2615.0,85.4,14.6,71.4,9.3,1199.0,1034.0,1176.0
2015,1,10,tutti,2961.0,85.6,14.4,72.3,6.7,1289.0,1168.0,1272.0
2016,1,10,tutti,2879.0,84.8,15.2,71.4,6.1,1358.0,1196.0,1334.0
2017,1,10,tutti,3205.0,85.2,14.8,71.0,5.7,1342.0,1261.0,1331.0
2018,1,10,tutti,3300.0,86.2,13.8,65.7,4.2,1369.0,1251.0,1352.0
2019,1,10,tutti,3915.0,85.0,15.0,65.1,3.2,1395.0,1248.0,1374.0
2020,1,10,tutti,4314.0,85.1,14.9,61.6,5.6,1409.0,1290.0,1392.0
2021,1,10,tutti,4885.0,85.0,15.0,64.6,4.9,1429.0,1350.0,1417.0
2022,1,10,tutti,4994.0,84.9,15.1,68.5,2.7,1528.0,1428.0,1513.0
2023,1,10,tutti,5072.0,83.6,16.4,67.3,4.1,1599.0,1489.0,1580.0
2024,1,10,tutti,5722.0,83.2,16.8,70.8,4.8,1640.0,1596.0,1633.0
2008,3,10,tutti,178.0,73.0,27.0,95.5,1.3,1355.0,1247.0,1325.0
2009,3,10,tutti,94.0,71.3,28.7,97.5,1.3,1317.0,1152.0,1271.0
2010,3,10,tutti,627.0,74.6,25.4,95.0,3.0,1442.0,1279.0,1405.0
2011,3,10,tutti,690.0,76.1,23.9,95.0,3.2,1398.0,1229.0,1360.0
2012,3,10,tutti,715.0,75.8,24.2,94.9,2.4,1362.0,1245.0,1334.0
2013,3,10,tutti,826.0,80.4,19.6,97.0,2.0,1426.0,1290.0,1399.0
2014,3,10,tutti,735.0,83.4,16.6,95.8,2.0,1471.0,1358.0,1453.0
2015,3,10,tutti,888.0,81.5,18.5,96.4,1.7,1589.0,1336.0,1541.0
2016,3,10,tutti,824.0,86.0,14.0,93.4,3.5,1603.0,1418.0,1576.0
2017,3,10,tutti,732.0,83.2,16.8,95.6,1.2,1649.0,1380.0,1610.0
2018,3,10,tutti,722.0,85.2,14.8,94.5,2.6,1702.0,1520.0,1679.0
2019,3,10,tutti,761.0,83.2,16.8,96.2,1.6,1711.0,1506.0,1679.0
2020,3,10,tutti,781.0,84.5,15.5,96.4,1.3,1727.0,1547.0,1704.0
2021,3,10,tutti,898.0,81.5,18.5,96.9,1.6,1824.0,1551.0,1775.0
2022,3,10,tutti,1092.0,81.9,18.1,96.2,1.5,1857.0,1702.0,1829.0
2023,3,10,tutti,1336.0,82.9,17.1,92.0,4.1,1922.0,1805.0,1903.0
2024,3,10,tutti,1531.0,81.5,18.5,94.9,1.6,1957.0,1795.0,1927.0
2008,5,10,tutti,160.0,75.0,25.0,96.1,0.8,1568.0,1308.0,1509.0
2009,5,10,tutti,167.0,77.2,22.8,93.7,2.5,1507.0,1256.0,1457.0
2010,5,10,tutti,202.0,72.8,27.2,93.9,2.5,1508.0,1332.0,1457.0
2011,5,10,tutti,93.0,71.0,29.0,94.6,4.1,1631.0,1297.0,1529.0
2012,5,10,tutti,627.0,74.6,25.4,96.5,1.7,1627.0,1392.0,1568.0
2013,5,10,tutti,690.0,76.1,23.9,95.1,2.4,1612.0,1297.0,1539.0
2014,5,10,tutti,715.0,75.8,24.2,94.5,1.7,1583.0,1443.0,1550.0
2015,5,10,tutti,1053.0,81.0,19.0,94.9,2.6,1695.0,1463.0,1650.0
2016,5,10,tutti,938.0,83.7,16.3,95.1,2.6,1711.0,1554.0,1685.0
2017,5,10,tutti,888.0,81.5,18.5,94.9,0.7,1793.0,1541.0,1748.0
2018,5,10,tutti,824.0,86.0,14.0,94.3,2.4,1825.0,1591.0,1787.0
2019,5,10,tutti,732.0,83.2,16.8,92.5,2.2,1864.0,1558.0,1817.0
2020,5,10,tutti,722.0,85.2,14.8,97.1,1.5,1869.0,1623.0,1833.0
2021,5,10,tutti,761.0,83.2,16.8,95.8,1.3,1864.0,1681.0,1835.0
2022,5,10,tutti,781.0,84.5,15.5,96.1,1.6,2044.0,1739.0,2003.0
2023,5,10,tutti,898.0,81.5,18.5,90.8,3.3,2160.0,1903.0,2111.0
2024,5,10,tutti,1092.0,81.9,18.1,94.8,2.1,2230.0,1922.0,2176.0
2008,1,11,tutti,9922.0,54.6,45.4,53.5,12.3,1008.0,785.0,911.0
2009,1,11,tutti,9995.0,53.4,46.6,49.7,16.2,974.0,762.0,881.0
2010,1,11,tutti,11272.0,54.1,45.9,51.2,17.9,946.0,739.0,854.0
2011,1,11,tutti,12514.0,54.0,46.0,51.6,19.9,945.0,722.0,846.0
2012,1,11,tutti,15136.0,55.2,44.8,50.8,22.9,883.0,679.0,795.0
2013,1,11,tutti,16057.0,54.8,45.2,48.0,27.4,873.0,674.0,787.0
2014,1,11,tutti,16490.0,54.0,46.0,45.6,30.0,882.0,687.0,799.0
2015,1,11,tutti,18155.0,55.2,44.8,45.9,27.8,1002.0,786.0,913.0
2016,1,11,tutti,18118.0,55.4,44.6,46.5,25.8,986.0,767.0,896.0
2017,1,11,tutti,17538.0,55.3,44.7,52.8,19.9,997.0,768.0,899.0
2018,1,11,tutti,16798.0,54.8,45.2,51.6,18.4,1096.0,910.0,1019.0
2019,1,11,tutti,15478.0,54.7,45.3,54.3,15.4,1148.0,972.0,1076.0
2020,1,11,tutti,14380.0,54.5,45.5,51.0,17.4,1175.0,996.0,1099.0
2021,1,11,tutti,12757.0,53.3,46.7,61.2,9.9,1220.0,1057.0,1148.0
2022,1,11,tutti,11771.0,52.1,47.9,65.7,6.6,1336.0,1151.0,1249.0
2023,1,11,tutti,9684.0,51.8,48.2,63.9,6.9,1418.0,1237.0,1332.0
2024,1,11,tutti,10118.0,53.2,46.8,66.3,6.4,1545.0,1333.0,1449.0
2008,3,11,tutti,2183.0,56.0,44.0,93.1,3.9,1369.0,1110.0,1260.0
2009,3,11,tutti,2100.0,53.5,46.5,88.9,6.4,1293.0,1010.0,1168.0
2010,3,11,tutti,2789.0,51.6,48.4,90.7,5.9,1345.0,1081.0,1218.0
2011,3,11,tutti,3773.0,49.9,50.1,89.6,7.4,1259.0,1053.0,1160.0
2012,3,11,tutti,4709.0,50.9,49.1,88.8,8.3,1265.0,1029.0,1152.0
2013,3,11,tutti,6065.0,50.0,50.0,85.3,11.1,1215.0,959.0,1090.0
2014,3,11,tutti,7473.0,52.7,47.3,84.0,11.7,1171.0,989.0,1087.0
2015,3,11,tutti,9310.0,52.1,47.9,82.7,12.2,1256.0,1039.0,1158.0
2016,3,11,tutti,9555.0,51.4,48.6,82.5,11.8,1292.0,1068.0,1188.0
2017,3,11,tutti,9578.0,51.5,48.5,85.8,8.4,1323.0,1089.0,1215.0
2018,3,11,tutti,9863.0,52.5,47.5,85.7,7.9,1395.0,1163.0,1290.0
2019,3,11,tutti,10046.0,51.9,48.1,88.8,6.1,1441.0,1221.0,1338.0
2020,3,11,tutti,9798.0,53.1,46.9,89.4,5.6,1490.0,1297.0,1402.0
2021,3,11,tutti,9251.0,53.4,46.6,91.7,3.4,1560.0,1387.0,1482.0
2022,3,11,tutti,8771.0,52.8,47.2,92.3,2.9,1643.0,1441.0,1548.0
2023,3,11,tutti,7847.0,52.0,48.0,91.1,3.3,1726.0,1541.0,1637.0
2024,3,11,tutti,7608.0,50.6,49.4,94.3,2.1,1824.0,1628.0,1727.0
2008,5,11,tutti,1743.0,57.9,42.1,95.1,2.0,1584.0,1263.0,1450.0
2009,5,11,tutti,2004.0,56.9,43.1,92.9,4.3,1521.0,1219.0,1391.0
2010,5,11,tutti,2203.0,56.0,44.0,92.8,3.8,1543.0,1214.0,1407.0
2011,5,11,tutti,1828.0,54.5,45.5,90.9,5.5,1443.0,1121.0,1308.0
2012,5,11,tutti,2787.0,51.6,48.4,92.2,5.2,1497.0,1187.0,1344.0
2013,5,11,tutti,3772.0,49.9,50.1,90.6,6.4,1418.0,1120.0,1271.0
2014,5,11,tutti,4709.0,50.9,49.1,89.8,7.1,1407.0,1128.0,1272.0
2015,5,11,tutti,6741.0,51.0,49.0,86.7,8.5,1433.0,1159.0,1303.0
2016,5,11,tutti,8246.0,53.6,46.4,86.9,7.7,1438.0,1213.0,1338.0
2017,5,11,tutti,9309.0,52.2,47.8,89.2,6.1,1488.0,1236.0,1371.0
2018,5,11,tutti,9555.0,51.4,48.6,88.3,5.7,1539.0,1308.0,1430.0
2019,5,11,tutti,9578.0,51.5,48.5,90.3,4.7,1590.0,1357.0,1481.0
2020,5,11,tutti,9863.0,52.5,47.5,91.1,4.3,1645.0,1417.0,1542.0
2021,5,11,tutti,10046.0,51.9,48.1,93.1,2.4,1744.0,1566.0,1660.0
2022,5,11,tutti,9798.0,53.1,46.9,92.5,2.4,1859.0,1613.0,1746.0
2023,5,11,tutti,9251.0,53.4,46.6,92.1,2.8,1935.0,1702.0,1829.0
2024,5,11,tutti,8830.0,53.0,47.0,93.7,1.9,2047.0,1790.0,1929.0
2008,1,12,tutti,14147.0,81.2,18.8,56.4,6.6,1226.0,1090.0,1202.0
2009,1,12,tutti,13962.0,80.4,19.6,54.5,10.3,1179.0,1076.0,1161.0
2010,1,12,tutti,14874.0,80.3,19.7,54.8,11.7,1157.0,1037.0,1136.0
2011,1,12,tutti,16318.0,79.1,20.9,56.3,10.5,1196.0,1048.0,1168.0
2012,1,12,tutti,19496.0,78.2,21.8,56.1,12.3,1173.0,1041.0,1148.0
2013,1,12,tutti,21034.0,77.6,22.4,55.0,13.6,1173.0,1046.0,1147.0
2014,1,12,tutti,20809.0,77.3,22.7,54.7,13.3,1208.0,1071.0,1180.0
2015,1,12,tutti,24133.0,77.0,23.0,53.8,11.1,1309.0,1170.0,1280.0
2016,1,12,tutti,25210.0,76.6,23.4,52.1,10.3,1317.0,1212.0,1294.0
2017,1,12,tutti,26407.0,76.4,23.6,54.4,8.3,1321.0,1202.0,1295.0
2018,1,12,tutti,27361.0,75.7,24.3,52.2,6.6,1395.0,1292.0,1372.0
2019,1,12,tutti,29739.0,75.4,24.6,49.3,5.7,1412.0,1313.0,1389.0
2020,1,12,tutti,32214.0,74.8,25.2,44.3,9.1,1401.0,1310.0,1380.0
2021,1,12,tutti,32422.0,73.9,26.1,49.0,6.9,1404.0,1329.0,1385.0
2022,1,12,tutti,35140.0,73.6,26.4,55.4,4.6,1509.0,1404.0,1483.0
2023,1,12,tutti,33624.0,73.2,26.8,54.0,4.6,1583.0,1504.0,1563.0
2024,1,12,tutti,36629.0,72.9,27.1,58.7,4.9,1688.0,1561.0,1655.0
2008,3,12,tutti,1914.0,83.8,16.2,96.8,1.3,1514.0,1344.0,1488.0
2009,3,12,tutti,1325.0,84.2,15.8,93.3,4.2,1477.0,1330.0,1454.0
2010,3,12,tutti,4473.0,79.7,20.3,96.9,2.0,1556.0,1411.0,1528.0
2011,3,12,tutti,5401.0,80.0,20.0,96.6,2.1,1535.0,1441.0,1517.0
2012,3,12,tutti,5962.0,79.0,21.0,96.7,2.2,1531.0,1419.0,1509.0
2013,3,12,tutti,6806.0,78.4,21.6,95.6,3.1,1548.0,1393.0,1517.0
2014,3,12,tutti,8144.0,78.2,21.8,95.4,3.2,1559.0,1436.0,1533.0
2015,3,12,tutti,10225.0,77.3,22.7,95.0,2.9,1601.0,1480.0,1575.0
2016,3,12,tutti,10076.0,77.1,22.9,94.3,2.8,1627.0,1497.0,1598.0
2017,3,12,tutti,10229.0,76.4,23.6,94.9,2.6,1665.0,1528.0,1634.0
2018,3,12,tutti,10469.0,75.9,24.1,95.1,2.1,1689.0,1563.0,1660.0
2019,3,12,tutti,11018.0,75.9,24.1,96.2,1.5,1720.0,1612.0,1695.0
2020,3,12,tutti,11263.0,75.7,24.3,96.6,1.6,1716.0,1609.0,1690.0
2021,3,12,tutti,12069.0,75.8,24.2,95.9,1.7,1738.0,1641.0,1716.0
2022,3,12,tutti,13094.0,74.7,25.3,94.6,1.4,1803.0,1701.0,1778.0
2023,3,12,tutti,12939.0,73.6,26.4,93.9,1.8,1877.0,1780.0,1851.0
2024,3,12,tutti,15580.0,73.7,26.3,96.2,1.1,1969.0,1847.0,1937.0
2008,5,12,tutti,1456.0,85.4,14.6,98.1,0.7,1755.0,1492.0,1718.0
2009,5,12,tutti,1764.0,84.8,15.2,96.0,2.4,1696.0,1488.0,1667.0
2010,5,12,tutti,1942.0,83.8,16.2,94.7,3.0,1703.0,1491.0,1669.0
2011,5,12,tutti,1324.0,84.1,15.9,95.7,2.8,1684.0,1533.0,1661.0
2012,5,12,tutti,4472.0,79.7,20.3,96.9,1.6,1779.0,1616.0,1746.0
2013,5,12,tutti,5401.0,80.0,20.0,96.5,2.2,1749.0,1588.0,1717.0
2014,5,12,tutti,5962.0,79.0,21.0,95.9,2.4,1738.0,1580.0,1707.0
2015,5,12,tutti,7941.0,78.4,21.6,95.3,2.6,1779.0,1626.0,1749.0
2016,5,12,tutti,9313.0,78.2,21.8,94.2,2.9,1775.0,1621.0,1743.0
2017,5,12,tutti,10225.0,77.3,22.7,95.2,2.2,1831.0,1669.0,1796.0
2018,5,12,tutti,10076.0,77.1,22.9,93.7,2.1,1834.0,1672.0,1799.0
2019,5,12,tutti,10228.0,76.4,23.6,94.8,1.8,1875.0,1725.0,1840.0
2020,5,12,tutti,10469.0,75.9,24.1,96.4,1.5,1858.0,1716.0,1825.0
2021,5,12,tutti,11018.0,75.9,24.1,95.4,1.6,1908.0,1769.0,1875.0
2022,5,12,tutti,11263.0,75.7,24.3,95.7,1.2,2027.0,1878.0,1991.0
2023,5,12,tutti,12069.0,75.8,24.2,94.4,1.9,2099.0,1974.0,2069.0
2024,5,12,tutti,13163.0,74.7,25.3,96.0,1.3,2201.0,2035.0,2160.0
2008,1,13,tutti,3154.0,56.4,43.6,61.0,18.2,1042.0,770.0,931.0
2009,1,13,tutti,3118.0,57.6,42.4,57.8,19.6,1038.0,800.0,943.0
2010,1,13,tutti,3324.0,58.2,41.8,58.1,21.4,996.0,765.0,910.0
2011,1,13,tutti,3347.0,56.8,43.2,55.7,24.4,991.0,768.0,905.0
2012,1,13,tutti,4177.0,54.6,45.4,55.9,25.7,992.0,751.0,891.0
2013,1,13,tutti,4338.0,54.7,45.3,52.2,27.8,965.0,688.0,848.0
2014,1,13,tutti,4648.0,52.8,47.2,53.1,25.9,973.0,731.0,868.0
2015,1,13,tutti,6081.0,51.4,48.6,51.3,23.8,1061.0,830.0,958.0
2016,1,13,tutti,6460.0,50.1,49.9,52.5,21.7,1069.0,834.0,959.0
2017,1,13,tutti,7304.0,49.9,50.1,53.1,19.2,1063.0,845.0,959.0
2018,1,13,tutti,7912.0,50.0,50.0,51.5,18.3,1124.0,915.0,1024.0
2019,1,13,tutti,8540.0,50.2,49.8,51.7,17.2,1172.0,957.0,1068.0
2020,1,13,tutti,8740.0,50.4,49.6,47.8,20.8,1181.0,981.0,1087.0
2021,1,13,tutti,8302.0,50.5,49.5,53.2,16.2,1222.0,1050.0,1141.0
2022,1,13,tutti,8364.0,51.2,48.8,57.1,12.5,1263.0,1111.0,1191.0
2023,1,13,tutti,7307.0,51.2,48.8,57.2,12.7,1333.0,1181.0,1259.0
2024,1,13,tutti,6989.0,51.0,49.0,61.0,11.6,1418.0,1269.0,1345.0
2008,3,13,tutti,556.0,55.8,44.2,84.3,9.4,1251.0,951.0,1126.0
2009,3,13,tutti,482.0,48.8,51.2,82.9,11.9,1096.0,911.0,1010.0
2010,3,13,tutti,1056.0,46.2,53.8,87.0,7.4,1223.0,949.0,1081.0
2011,3,13,tutti,1219.0,50.5,49.5,87.9,7.6,1209.0,954.0,1088.0
2012,3,13,tutti,1394.0,49.7,50.3,84.1,10.2,1132.0,939.0,1036.0
2013,3,13,tutti,1491.0,49.0,51.0,85.4,9.3,1118.0,941.0,1031.0
2014,3,13,tutti,1897.0,49.9,50.1,82.7,12.7,1160.0,965.0,1064.0
2015,3,13,tutti,2305.0,47.8,52.2,82.9,11.0,1229.0,1045.0,1138.0
2016,3,13,tutti,2344.0,47.7,52.3,83.2,9.7,1261.0,1064.0,1162.0
2017,3,13,tutti,2400.0,48.4,51.6,83.7,9.7,1301.0,1086.0,1197.0
2018,3,13,tutti,2584.0,46.9,53.1,84.3,8.3,1379.0,1215.0,1298.0
2019,3,13,tutti,2727.0,46.5,53.5,89.6,5.4,1396.0,1245.0,1319.0
2020,3,13,tutti,2871.0,45.6,54.4,88.2,6.2,1502.0,1307.0,1402.0
2021,3,13,tutti,3080.0,45.2,54.8,87.8,6.0,1464.0,1380.0,1419.0
2022,3,13,tutti,3295.0,45.4,54.6,88.1,5.1,1550.0,1448.0,1494.0
2023,3,13,tutti,3271.0,47.3,52.7,88.8,6.0,1619.0,1520.0,1567.0
2024,3,13,tutti,3432.0,47.6,52.4,92.1,3.7,1635.0,1530.0,1581.0
2008,5,13,tutti,650.0,50.9,49.1,90.7,4.8,1357.0,1183.0,1271.0
2009,5,13,tutti,680.0,53.2,46.8,86.1,9.0,1407.0,1149.0,1293.0
2010,5,13,tutti,555.0,55.9,44.1,88.8,6.8,1353.0,1045.0,1231.0
2011,5,13,tutti,355.0,53.2,46.8,81.9,12.7,1213.0,1120.0,1177.0
2012,5,13,tutti,1055.0,46.3,53.7,89.7,6.5,1341.0,1080.0,1202.0
2013,5,13,tutti,1219.0,50.5,49.5,89.6,6.7,1335.0,1123.0,1232.0
2014,5,13,tutti,1394.0,49.7,50.3,88.0,7.5,1299.0,1085.0,1196.0
2015,5,13,tutti,1913.0,46.8,53.2,85.8,8.8,1374.0,1156.0,1264.0
2016,5,13,tutti,2317.0,49.1,50.9,84.9,9.0,1435.0,1168.0,1305.0
2017,5,13,tutti,2305.0,47.8,52.2,87.3,6.2,1414.0,1209.0,1313.0
2018,5,13,tutti,2344.0,47.7,52.3,85.6,6.8,1491.0,1313.0,1401.0
2019,5,13,tutti,2400.0,48.4,51.6,87.1,6.7,1551.0,1364.0,1458.0
2020,5,13,tutti,2584.0,46.9,53.1,88.9,5.2,1587.0,1472.0,1529.0
2021,5,13,tutti,2727.0,46.5,53.5,89.2,4.3,1656.0,1557.0,1603.0
2022,5,13,tutti,2871.0,45.6,54.4,89.4,3.8,1756.0,1605.0,1677.0
2023,5,13,tutti,3080.0,45.2,54.8,89.6,3.9,1834.0,1671.0,1744.0
2024,5,13,tutti,3295.0,45.4,54.6,90.5,3.8,1896.0,1777.0,1831.0
